IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
7719,40176,6,3,Others,Bio statistician,Telecom,P,Manager,PG,Botony,Jaipur,2014,,,,,,,Lucknow,Delhi,2271765,N,D,2,1,1,0,2717030
7720,49165,16,12,Others,Consultant,Automobile,C,Consultant,PG,Botony,Bhubaneswar,1996,Botony,Bhubaneswar,1998,Others,Bangalore,2004,Chennai,Bangalore,2727934,N,A,3,8,1,0,3546314
7721,59815,16,6,Top Management,Senior Analyst,Retail,J,Manager,Grad,Sociology,Delhi,2004,Sociology,Delhi,2014,,,,Mangalore,Nagpur,2526336,N,Key_Performer,4,0,0,0,3157920
7722,32841,9,4,Marketing,Financial Analyst,Telecom,B,Sr.Manager,Doctorate,Statistics,Delhi,2002,Statistics,Delhi,2004,Statistics,Ahmedabad,2011,Kanpur,Delhi,1941455,Y,Key_Performer,2,7,0,0,2718037
7723,28518,19,5,Banking,Analyst,Automobile,M,Research Analyst,PG,Engineering,Guwahati,1994,Engineering,Guwahati,1996,Engineering,Pune,2001,Lucknow,Bangalore,3947033,Y,Key_Performer,6,6,1,0,5210083
7724,36899,7,2,Banking,Others,Aviation,H,Product Manager,Grad,Statistics,Ahmedabad,2006,Statistics,Ahmedabad,2008,Others,Ahmedabad,2013,Mangalore,Kanpur,1274241,N,D,5,4,0,0,1465377
7725,38317,2,2,Education,Sales Execituve,BFSI,J,Product Manager,Under Grad,,,,,,,,,,Bhubaneswar,Guwahati,444797,N,D,1,6,2,0,511516
7726,35563,13,13,Others,Business Analyst,Analytics,B,Marketing Manager,Grad,Arts,Bhubaneswar,2007,Arts,Bhubaneswar,2015,,,,Bhubaneswar,Chennai,2004868,N,Key_Performer,4,2,0,0,2506085
7727,29005,12,7,Top Management,Scientist,Telecom,E,Web Designer,Under Grad,,,,,,,,,,Guwahati,Ahmedabad,1321185,Y,C,6,8,3,1,1580137
7728,55189,16,3,Accounts,Team Lead,Aviation,M,Director,Grad,Chemistry,Surat,1997,Chemistry,Surat,1999,Chemistry,Lucknow,2004,Mumbai,Bangalore,1421779,N,D,3,4,0,0,1635045
7729,58955,12,7,Healthcare,Researcher,Retail,O,Data Analyst,Under Grad,,,,,,,,,,Delhi,Mumbai,1397176,N,B,6,0,1,0,1746470
7730,22919,10,5,Banking,Sales Execituve,Analytics,O,Others,Doctorate,Mathematics,Surat,2003,Mathematics,Surat,2005,Mathematics,Nagpur,2010,Kolkata,Bhubaneswar,2197975,Y,Key_Performer,5,5,0,0,3077165
7731,10089,25,20,Healthcare,Team Lead,BFSI,N,Web Designer,PG,Chemistry,Bhubaneswar,1986,Chemistry,Bhubaneswar,1988,Others,Pune,1995,Ahmedabad,Kanpur,2797812,N,C,2,7,0,0,3346183
7732,22620,7,0,Others,Principal Analyst,Training,G,Research Analyst,Grad,Psychology,Mangalore,2004,Psychology,Mangalore,2006,Psychology,Nagpur,2013,Lucknow,Ahmedabad,1225736,Y,Key_Performer,6,5,2,1,1631699
7733,18111,5,3,Sales,Sales Manager,Insurance,F,Others,PG,Mathematics,Delhi,2015,Mathematics,Delhi,2014,,,,Jaipur,Kanpur,970689,N,D,2,0,1,0,1160944
7734,16823,15,5,Marketing,Senior Researcher,Others,E,Assistant Manager,PG,Psychology,Delhi,2005,,,,,,,Kolkata,Lucknow,1641027,N,D,4,0,1,0,1962668
7735,30806,20,16,,Consultant,Analytics,G,,Grad,Psychology,Nagpur,2000,Others,Nagpur,2008,,,,Kolkata,Kolkata,2532077,N,D,4,0,0,0,2911888
7736,14489,13,5,,Sales Execituve,Insurance,B,Consultant,PG,Zoology,Ahmedabad,2007,Zoology,Ahmedabad,2012,,,,Mangalore,Ahmedabad,1676609,N,B,2,0,1,0,2179591
7737,11827,15,0,Marketing,Consultant,Retail,J,,PG,Botony,Bhubaneswar,1996,Botony,Bhubaneswar,1998,Botony,Jaipur,2005,Chennai,Mumbai,2195989,N,C,2,5,0,0,2626402
7738,53408,22,18,Healthcare,Researcher,Insurance,P,Sr.Manager,PG,Botony,Ahmedabad,1990,Botony,Ahmedabad,1992,Botony,Ahmedabad,1998,Mumbai,Pune,3159122,N,C,6,7,2,0,3778309
7739,18025,9,9,Sales,Sales Execituve,Aviation,I,Network Engineer,Grad,Statistics,Delhi,2003,Statistics,Delhi,2005,Statistics,Kolkata,2011,Nagpur,Kanpur,935459,Y,Key_Performer,1,5,4,0,1197387
7740,50713,15,3,Engineering,Team Lead,Insurance,F,,Under Grad,,,,,,,,,,Mumbai,Guwahati,1765055,Y,Key_Performer,2,7,1,0,2294571
7741,37778,17,13,Sales,Sales Execituve,Others,G,Web Designer,Grad,Engineering,Surat,1996,Engineering,Surat,1998,Engineering,Guwahati,2003,Kolkata,Jaipur,2524979,N,C,4,7,2,0,2903725
7742,11709,23,17,Education,Consultant,Retail,I,Others,PG,Zoology,Kolkata,1988,Zoology,Kolkata,1990,Zoology,Nagpur,1997,Guwahati,Jaipur,1545439,N,C,3,4,1,0,1848345
7743,37972,17,10,Education,Team Lead,Automobile,G,Consultant,Grad,Statistics,Bhubaneswar,2003,Statistics,Bhubaneswar,2012,,,,Kolkata,Delhi,2207562,N,Key_Performer,5,0,0,0,2759452
7744,55519,7,2,Sales,Consultant,Insurance,M,Web Designer,Doctorate,Mathematics,Surat,2007,Mathematics,Surat,2009,Mathematics,Nagpur,2013,Jaipur,Mumbai,1413373,Y,C,5,5,0,0,1820424
7745,34037,3,1,Healthcare,Consultant,Training,C,Web Designer,PG,Economics,Surat,2017,Economics,Surat,2015,,,,Bhubaneswar,Bhubaneswar,752754,N,B,1,0,0,0,978580
7746,25867,14,13,Marketing,Analyst,Aviation,C,Data Analyst,Doctorate,Statistics,Kolkata,1997,Statistics,Kolkata,1999,Statistics,Nagpur,2006,Mumbai,Kolkata,1598290,N,D,4,5,0,0,1985076
7747,54347,24,3,Banking,Sales Execituve,Analytics,D,Data Analyst,Grad,Engineering,Mangalore,1988,Engineering,Mangalore,1990,Engineering,Ahmedabad,1996,Kolkata,Bangalore,2665784,Y,D,2,7,2,0,3139227
7748,41932,18,15,Sales,Business Analyst,Telecom,N,Product Manager,Under Grad,,,,,,,,,,Surat,Pune,2465812,N,B,2,4,0,0,3082265
7749,16456,7,0,Analytics/BI,Consultant,Others,H,Network Engineer,Doctorate,Engineering,Pune,2007,Engineering,Pune,2009,Engineering,Lucknow,2013,Surat,Delhi,1465484,Y,Key_Performer,3,7,0,0,2133744
7750,26728,2,0,Engineering,Associate,BFSI,B,Medical Officer,PG,Arts,Pune,2011,Arts,Pune,2013,Arts,Pune,2018,Lucknow,Ahmedabad,781815,N,B,2,3,0,0,1016359
7751,47917,23,1,Healthcare,Others,IT,J,Research Analyst,Under Grad,,,,,,,,,,Pune,Mangalore,2374798,Y,Key_Performer,6,1,1,0,3087237
7752,57532,12,11,Accounts,Analyst,Training,P,CA,Grad,Mathematics,Kolkata,2002,Mathematics,Kolkata,2004,Mathematics,Mangalore,2008,Kolkata,Bangalore,2065282,N,B,3,4,0,0,2581602
7753,16066,8,1,Education,Consultant,Aviation,A,Medical Officer,PG,Psychology,Bangalore,2005,Psychology,Bangalore,2007,Psychology,Delhi,2012,Bangalore,Surat,804076,N,D,1,8,1,0,961674
7754,18455,14,0,Banking,Sales Execituve,Aviation,C,Web Designer,Grad,Mathematics,Mangalore,2000,Mathematics,Mangalore,2002,Mathematics,Delhi,2006,Kanpur,Kanpur,1892818,N,A,3,5,1,0,2366022
7755,27273,3,2,Others,Sales Execituve,Telecom,B,Others,Under Grad,,,,,,,,,,Bhubaneswar,Pune,504177,N,B,3,7,2,0,630221
7756,49605,21,17,Banking,Sales Manager,IT,E,Product Manager,PG,Others,Jaipur,1990,Botony,Jaipur,1992,Sociology,Nagpur,1999,Mangalore,Lucknow,3165294,Y,B,6,7,0,0,4178188
7757,55122,15,1,Education,Senior Researcher,FMCG,D,Sr.Manager,PG,Sociology,Bangalore,1997,Sociology,Bangalore,1999,Others,Guwahati,2005,Pune,Guwahati,2223221,N,C,2,5,0,0,2658972
7758,15788,17,10,Analytics/BI,Data scientist,Aviation,N,Others,Under Grad,,,,,,,,,,Chennai,Kanpur,1999082,N,A,2,4,3,1,2498852
7759,22905,14,7,Accounts,Business Analyst,Analytics,E,Director,PG,Economics,Ahmedabad,1998,Economics,Ahmedabad,2000,Economics,Lucknow,2006,Chennai,Guwahati,1694791,N,B,3,5,1,0,2203228
7760,27290,15,0,Top Management,Bio statistician,Retail,N,Research Analyst,Grad,Arts,Pune,1999,Arts,Pune,2001,Arts,Lucknow,2005,Delhi,Lucknow,2024123,N,A,6,5,0,0,2530153
7761,35474,11,4,Engineering,Analyst,Telecom,L,Product Manager,Under Grad,,,,,,,,,,Guwahati,Delhi,1175034,Y,Key_Performer,4,6,2,0,1527544
7762,16723,5,5,HR,Project Manager,Insurance,N,Consultant,Under Grad,,,,,,,,,,Jaipur,Kolkata,664398,Y,C,3,5,1,0,794620
7763,17721,25,8,Engineering,Sales Execituve,FMCG,I,Web Designer,Under Grad,,,,,,,,,,Chennai,Kolkata,1950126,Y,B,2,3,3,0,2535163
7764,56175,4,2,Marketing,Sales Manager,Aviation,H,Research Analyst,Grad,Psychology,Surat,2008,Psychology,Surat,2010,Psychology,Bangalore,2016,Surat,Mangalore,629496,N,D,4,4,1,0,723920
7765,10676,21,17,Analytics/BI,Business Analyst,Others,B,Assistant Manager,Grad,Chemistry,Bhubaneswar,1993,Chemistry,Bhubaneswar,1995,Chemistry,Mangalore,1999,Kanpur,Guwahati,2496479,N,D,5,6,0,0,2870950
7766,48744,8,4,IT-Software,Business Analyst,FMCG,B,Manager,Under Grad,,,,,,,,,,Surat,Kolkata,747180,Y,B,2,3,3,0,971334
7767,19032,2,1,Healthcare,Project Manager,IT,K,Assistant Manager,Under Grad,,,,,,,,,,Pune,Bhubaneswar,424056,Y,B,1,5,2,0,551272
7768,57818,5,0,Engineering,Sales Manager,Retail,O,Data Analyst,PG,Chemistry,Mangalore,2006,Chemistry,Mangalore,2008,Chemistry,Jaipur,2015,Nagpur,Bangalore,919100,Y,Key_Performer,2,7,0,0,1261740
7769,58991,7,6,Accounts,Team Lead,Insurance,E,Research Analyst,PG,Chemistry,Pune,2005,Chemistry,Pune,2007,Chemistry,Kolkata,2013,Surat,Lucknow,1203100,Y,D,4,6,0,0,1461044
7770,49021,13,6,Engineering,Scientist,Aviation,A,Product Manager,PG,Others,Pune,2007,Zoology,Pune,2019,,,,Nagpur,Jaipur,2136776,N,C,5,2,1,1,2555584
7771,36946,5,4,Education,Sales Manager,IT,J,,Doctorate,Zoology,Nagpur,2009,Zoology,Nagpur,2011,Others,Bhubaneswar,2015,Jaipur,Kolkata,1152127,N,A,2,6,0,0,1617586
7772,52719,19,13,HR,Business Analyst,IT,A,Marketing Manager,Doctorate,Zoology,Surat,2001,,,,,,,Mumbai,Kolkata,3297211,N,A,4,0,0,0,4451234
7773,25295,16,14,HR,Senior Researcher,Telecom,H,,Grad,Psychology,Surat,1997,Psychology,Surat,1999,Psychology,Mumbai,2004,Chennai,Bhubaneswar,2478109,N,D,4,7,0,0,2849825
7774,46135,16,4,Top Management,Sr. Business Analyst,FMCG,J,Web Designer,Grad,Mathematics,Bhubaneswar,1998,Mathematics,Bhubaneswar,2000,Mathematics,Lucknow,2004,Guwahati,Kolkata,2578011,N,D,4,7,4,0,2964712
7775,58841,7,2,Education,Principal Analyst,Aviation,L,Others,Under Grad,,,,,,,,,,Lucknow,Ahmedabad,568784,N,B,5,8,3,1,710980
7776,37661,20,17,Banking,CEO,Aviation,L,CA,Under Grad,,,,,,,,,,Delhi,Bangalore,1647062,N,A,3,6,1,0,2058827
7777,16303,20,11,Top Management,Area Sales Manager,Insurance,L,Assistant Manager,Doctorate,Economics,Lucknow,2000,Economics,Lucknow,2016,,,,Chennai,Jaipur,3312793,N,Key_Performer,2,2,0,0,4472270
7778,43359,20,17,Banking,Team Lead,IT,O,Marketing Manager,Doctorate,Mathematics,Ahmedabad,1993,Mathematics,Ahmedabad,1995,Mathematics,Ahmedabad,2000,Jaipur,Guwahati,3469268,Y,B,5,8,0,0,4856975
7779,30587,22,14,,Consultant,Aviation,I,Research Scientist,PG,Sociology,Nagpur,1998,Sociology,Nagpur,2018,,,,Mumbai,Ahmedabad,2550471,N,B,2,0,1,0,3315612
7780,44304,16,12,Healthcare,Project Manager,FMCG,A,Product Manager,PG,Botony,Lucknow,1998,Botony,Lucknow,2000,Others,Bangalore,2004,Nagpur,Mumbai,2884095,N,A,3,3,1,0,3749323
7781,30661,6,2,Banking,Others,Aviation,L,Sr.Manager,Grad,Arts,Bangalore,2014,Arts,Bangalore,2020,,,,Jaipur,Jaipur,1582008,N,D,3,2,0,0,1819309
7782,25784,9,6,,Sales Execituve,FMCG,K,Research Scientist,Doctorate,Arts,Bangalore,2011,,,,,,,Pune,Lucknow,1445511,N,Key_Performer,5,0,0,0,1951439
7783,36762,2,2,Others,Sales Manager,Telecom,A,Others,Under Grad,,,,,,,,,,Bangalore,Kolkata,408596,Y,B,2,8,0,0,531174
7784,41123,23,16,Accounts,Scientist,IT,N,Software Developer,Doctorate,Mathematics,Mangalore,1988,Mathematics,Mangalore,1990,Mathematics,Ahmedabad,1997,Bhubaneswar,Bhubaneswar,3680008,Y,A,5,5,0,0,5152011
7785,57637,11,2,Others,Sales Execituve,Retail,G,Data Analyst,Doctorate,Economics,Delhi,2002,Economics,Delhi,2004,Economics,Kolkata,2009,Pune,Bhubaneswar,1802522,Y,Key_Performer,2,7,0,0,2523530
7786,11564,4,1,Others,Others,Others,A,Research Analyst,Grad,Mathematics,Bangalore,2016,Mathematics,Bangalore,2008,,,,Delhi,Ahmedabad,570979,N,A,1,2,3,0,742272
7787,29632,17,0,Sales,Others,IT,G,HR,Under Grad,,,,,,,,,,Kolkata,Jaipur,1693031,N,C,2,7,4,0,1946985
7788,28533,4,3,Banking,Associate,Others,M,Consultant,Under Grad,,,,,,,,,,Ahmedabad,Chennai,673348,N,C,4,7,3,0,774350
7789,15948,9,9,Top Management,Project Manager,IT,F,HR,Grad,Engineering,Mumbai,2004,Engineering,Mumbai,2006,Engineering,Nagpur,2011,Surat,Mumbai,956722,Y,C,5,5,0,0,1126635
7790,34012,7,3,IT-Software,Team Lead,Telecom,O,Data Analyst,Grad,Mathematics,Delhi,2006,Others,Delhi,2008,Others,Kolkata,2013,Guwahati,Lucknow,916128,Y,C,3,6,4,0,1078832
7791,22291,1,0,Education,Scientist,Automobile,C,Data Analyst,Doctorate,Chemistry,Bhubaneswar,2011,Chemistry,Bhubaneswar,2013,Chemistry,Guwahati,2019,Kolkata,Bhubaneswar,874850,N,B,3,4,0,0,1093562
7792,26156,1,0,Analytics/BI,Others,FMCG,G,Software Developer,Doctorate,Others,Pune,2010,Mathematics,Pune,2012,Engineering,Delhi,2019,Kanpur,Nagpur,530373,N,B,1,4,0,0,662966
7793,43737,14,4,Education,Financial Analyst,BFSI,O,HR,Doctorate,Chemistry,Nagpur,2006,Chemistry,Nagpur,2020,,,,Jaipur,Bhubaneswar,1757360,N,A,6,1,0,0,2372436
7794,40662,8,4,Education,Team Lead,Insurance,G,Marketing Manager,PG,Engineering,Surat,2004,Engineering,Surat,2006,Engineering,Kolkata,2012,Kanpur,Kolkata,1122320,N,B,3,7,1,0,1459016
7795,30102,23,20,Analytics/BI,Data scientist,BFSI,F,Assistant Manager,Doctorate,Zoology,Mangalore,1997,Zoology,Mangalore,2008,,,,Pune,Bangalore,3534476,N,D,2,0,0,1,4389819
7796,48704,8,8,HR,Team Lead,Aviation,H,Web Designer,Under Grad,,,,,,,,,,Bangalore,Jaipur,1028996,N,C,6,4,2,0,1183345
7797,27135,23,12,Education,Bio statistician,Insurance,I,Research Analyst,Doctorate,Statistics,Lucknow,1988,Statistics,Lucknow,1990,Statistics,Ahmedabad,1997,Pune,Bangalore,2724135,Y,B,6,4,0,0,3813789
7798,26382,13,12,,Team Lead,Insurance,C,Data Analyst,Under Grad,,,,,,,,,,Kanpur,Ahmedabad,1127424,N,Key_Performer,5,0,0,0,1409280
7799,43507,13,13,IT-Software,Sales Manager,Others,J,Others,Doctorate,Engineering,Mumbai,2001,Engineering,Mumbai,2003,Engineering,Delhi,2007,Nagpur,Ahmedabad,2238861,Y,Key_Performer,2,7,0,0,3134405
7800,20292,15,7,Engineering,Project Manager,Aviation,P,,Doctorate,Psychology,Lucknow,1997,Psychology,Lucknow,1999,Psychology,Bangalore,2005,Pune,Chennai,1836362,N,A,5,4,0,0,2479088
7801,54919,22,0,,Others,BFSI,H,Assistant Manager,Doctorate,Zoology,Kolkata,1998,Zoology,Kolkata,2009,,,,Surat,Pune,3978931,N,B,4,1,0,0,5371556
7802,50365,7,1,Analytics/BI,Team Lead,Analytics,F,Marketing Manager,Doctorate,Chemistry,Surat,2013,Chemistry,Surat,2020,,,,Guwahati,Delhi,1560848,N,B,3,0,0,0,2107144
7803,40826,16,15,Sales,Senior Researcher,Telecom,M,Sr.Manager,Doctorate,Botony,Kolkata,1995,Botony,Kolkata,1997,Botony,Kolkata,2004,Guwahati,Mangalore,3026176,N,D,2,8,0,0,3758510
7804,30385,16,2,Top Management,Bio statistician,Analytics,B,Manager,Doctorate,Chemistry,Mumbai,2004,Chemistry,Mumbai,2019,,,,Lucknow,Nagpur,2714280,N,A,4,2,0,0,3664278
7805,49479,20,10,IT-Software,Sales Manager,Insurance,K,HR,Grad,Statistics,Pune,1994,Statistics,Pune,1996,Others,Pune,2000,Chennai,Delhi,2515296,Y,B,2,6,0,0,3219578
7806,40870,3,1,Banking,Sales Manager,Retail,B,Marketing Manager,Under Grad,,,,,,,,,,Surat,Delhi,461015,N,A,2,8,1,0,576268
7807,30026,15,0,Engineering,Sales Execituve,FMCG,F,Product Manager,Doctorate,Economics,Mumbai,1998,Economics,Mumbai,2000,Economics,Mangalore,2005,Surat,Chennai,1548308,Y,C,3,8,0,0,1994220
7808,53735,1,1,Sales,Team Lead,Retail,J,Sr.Manager,PG,Statistics,Pune,2019,Statistics,Pune,2013,,,,Lucknow,Jaipur,531587,N,D,3,1,1,0,625996
7809,13299,2,1,Others,Sales Execituve,Analytics,G,Software Developer,PG,Others,Surat,2010,Statistics,Surat,2012,Sociology,Bangalore,2018,Mangalore,Surat,656942,Y,A,1,8,0,0,886871
7810,17973,4,1,Marketing,Analyst,Automobile,P,Research Scientist,PG,Psychology,Nagpur,2010,Psychology,Nagpur,2012,Psychology,Jaipur,2016,Jaipur,Mangalore,977344,N,A,3,8,0,0,1321369
7811,51475,7,5,Top Management,Bio statistician,Aviation,N,Manager,Grad,Economics,Lucknow,2007,Others,Lucknow,2009,Economics,Pune,2013,Delhi,Nagpur,1304379,N,C,5,7,0,0,1500035
7812,37133,7,4,Engineering,Bio statistician,Telecom,O,Research Analyst,Grad,Mathematics,Pune,2007,Mathematics,Pune,2009,Others,Lucknow,2013,Ahmedabad,Surat,1480242,N,D,4,7,1,0,1702278
7813,34010,1,0,,Bio statistician,Insurance,G,HR,Doctorate,Botony,Kolkata,2019,,,,,,,Bhubaneswar,Kanpur,779543,N,B,3,0,0,0,974428
7814,37455,24,3,Engineering,Sales Manager,Automobile,L,,Grad,Zoology,Surat,1996,Others,Surat,2014,,,,Kolkata,Lucknow,2574819,N,A,4,0,0,0,3218523
7815,18512,15,2,Marketing,Consultant,Analytics,J,HR,PG,Economics,Guwahati,1999,Economics,Guwahati,2001,Economics,Ahmedabad,2005,Mangalore,Lucknow,2583901,N,A,2,6,1,0,3359071
7816,24482,19,7,Engineering,Consultant,IT,J,Marketing Manager,Doctorate,Sociology,Mumbai,2001,Sociology,Mumbai,2017,,,,Mangalore,Chennai,3621064,N,Key_Performer,4,2,0,0,4888436
7817,31934,1,1,Banking,Bio statistician,FMCG,A,Assistant Manager,Doctorate,Zoology,Surat,2019,Zoology,Surat,2011,,,,Jaipur,Kolkata,723569,N,D,2,2,0,0,832104
7818,41440,0,0,NA,NA,NA,NA,NA,Doctorate,Zoology,Pune,2020,Zoology,Pune,2019,,,,Bhubaneswar,Pune,0,N,NA,0,1,0,0,673553
7819,59942,9,0,HR,Consultant,Training,I,Research Scientist,Doctorate,Zoology,Surat,2011,Zoology,Surat,2009,,,,Nagpur,Bhubaneswar,1984850,N,Key_Performer,6,2,0,0,2679547
7820,49290,14,7,Sales,Financial Analyst,Training,J,Network Engineer,Under Grad,,,,,,,,,,Kolkata,Chennai,1218273,N,C,3,6,5,0,1401013
7821,46015,5,2,Healthcare,Consultant,Telecom,F,Sr.Manager,Doctorate,Sociology,Nagpur,2015,,,,,,,Bhubaneswar,Ahmedabad,1101804,N,A,4,0,0,0,1546932
7822,48193,24,10,Analytics/BI,Data scientist,Training,K,Consultant,Grad,Botony,Lucknow,1996,,,,,,,Jaipur,Guwahati,2223826,N,C,3,0,0,0,2557399
7823,49855,0,0,NA,NA,NA,NA,NA,Grad,Arts,Guwahati,2020,Arts,Guwahati,2020,,,,Jaipur,Bhubaneswar,0,N,NA,0,2,0,0,372448
7824,23501,23,18,Education,Team Lead,Others,I,Medical Officer,PG,Sociology,Guwahati,1997,Sociology,Guwahati,2012,,,,Delhi,Jaipur,2044413,N,A,6,1,1,0,2657736
7825,42009,25,4,IT-Software,Team Lead,IT,B,CA,Under Grad,,,,,,,,,,Nagpur,Bangalore,1458941,Y,Key_Performer,5,6,1,0,1896623
7826,39944,12,9,Others,Sales Manager,Analytics,E,Others,Doctorate,Botony,Ahmedabad,2008,Botony,Ahmedabad,2011,,,,Kolkata,Nagpur,1683680,N,D,2,2,0,0,2091130
7827,22095,21,20,Healthcare,Head,IT,J,Network Engineer,Doctorate,Engineering,Bhubaneswar,1992,Others,Bhubaneswar,1994,Psychology,Ahmedabad,1999,Ahmedabad,Delhi,3835634,Y,D,4,3,0,1,4940296
7828,52952,8,8,Analytics/BI,Team Lead,FMCG,N,Sr.Manager,Grad,Engineering,Nagpur,2006,Engineering,Nagpur,2008,Engineering,Bhubaneswar,2012,Nagpur,Delhi,1057262,N,C,3,3,0,0,1215851
7829,58219,13,13,Healthcare,Scientist,Others,A,HR,Under Grad,,,,,,,,,,Bhubaneswar,Mumbai,1237815,N,D,6,1,1,1,1423487
7830,11008,25,4,Banking,Sales Execituve,FMCG,C,Research Analyst,Under Grad,,,,,,,,,,Pune,Ahmedabad,1966652,N,B,5,5,2,0,2458315
7831,49692,9,3,IT-Software,Principal Analyst,BFSI,P,Marketing Manager,Under Grad,,,,,,,,,,Guwahati,Nagpur,1030125,N,A,5,4,0,0,1287656
7832,48223,19,2,Sales,Others,Telecom,E,Marketing Manager,Under Grad,,,,,,,,,,Mumbai,Mangalore,2696200,N,C,4,7,5,0,3100630
7833,56188,3,1,Marketing,Consultant,Retail,N,Medical Officer,Doctorate,Botony,Lucknow,2017,Botony,Lucknow,2010,,,,Chennai,Surat,1121882,N,C,2,2,0,0,1393377
7834,37797,13,9,Banking,Team Lead,BFSI,E,Research Analyst,Doctorate,Botony,Surat,1999,Botony,Surat,2001,Others,Bangalore,2007,Guwahati,Bhubaneswar,2377458,N,D,4,5,0,0,2952802
7835,12248,1,1,Healthcare,Financial Analyst,Training,M,Assistant Manager,PG,Economics,Bangalore,2019,Economics,Bangalore,2018,,,,Mumbai,Kolkata,566823,N,B,2,2,2,0,725533
7836,48687,14,7,Engineering,Business Analyst,Telecom,A,Assistant Manager,Doctorate,Psychology,Lucknow,2006,Psychology,Lucknow,2022,,,,Bangalore,Bangalore,2189677,N,B,2,2,0,0,2956063
7837,39083,10,3,Marketing,Business Analyst,BFSI,P,Consultant,Grad,Psychology,Pune,2010,,,,,,,Mangalore,Jaipur,1877659,N,Key_Performer,5,1,0,0,2347073
7838,50476,17,7,Engineering,Business Analyst,Others,J,Sr.Manager,Grad,Economics,Bangalore,1996,Economics,Bangalore,1998,Economics,Nagpur,2003,Bhubaneswar,Ahmedabad,2558359,N,C,6,5,0,0,2942112
7839,30888,19,9,Marketing,Head,Automobile,A,,Under Grad,,,,,,,,,,Pune,Nagpur,2166486,N,C,2,2,3,1,2491458
7840,46935,4,4,Healthcare,Bio statistician,Aviation,F,Product Manager,Doctorate,Statistics,Delhi,2009,Statistics,Delhi,2011,Statistics,Bangalore,2016,Ahmedabad,Mangalore,1075313,Y,Key_Performer,2,7,0,0,1565655
7841,53307,24,17,Analytics/BI,Others,Others,E,Medical Officer,PG,Zoology,Ahmedabad,1996,,,,,,,Nagpur,Guwahati,2284568,N,D,2,0,0,0,2732343
7842,56703,18,6,Marketing,CEO,Others,J,Consultant,PG,Arts,Nagpur,1995,Arts,Nagpur,1997,Others,Bhubaneswar,2002,Chennai,Jaipur,2969267,N,C,3,8,1,1,3551243
7843,11531,24,0,Analytics/BI,Data scientist,Automobile,O,Director,Grad,Statistics,Ahmedabad,1990,Statistics,Ahmedabad,1992,Statistics,Lucknow,1996,Nagpur,Kolkata,2455637,Y,B,3,6,0,0,3143215
7844,10617,18,4,Marketing,Team Lead,BFSI,D,Medical Officer,PG,Arts,Surat,2002,Others,Surat,2011,,,,Ahmedabad,Nagpur,3340764,N,D,5,0,0,0,3995553
7845,20269,5,1,Banking,Bio statistician,Others,P,Network Engineer,Doctorate,Mathematics,Bangalore,2015,Mathematics,Bangalore,2014,,,,Delhi,Lucknow,1289540,N,B,3,0,0,0,1740879
7846,34430,25,8,Healthcare,Head,Telecom,A,Research Scientist,Grad,Botony,Bhubaneswar,1987,Botony,Bhubaneswar,1989,Botony,Guwahati,1995,Nagpur,Guwahati,2287874,N,C,6,7,0,1,2631055
7847,18396,1,1,Education,Team Lead,Telecom,G,Data Analyst,PG,Mathematics,Guwahati,2011,Mathematics,Guwahati,2013,Mathematics,Delhi,2019,Surat,Lucknow,485310,N,B,1,8,0,0,621196
7848,58408,21,7,,Consultant,BFSI,J,Assistant Manager,Doctorate,Arts,Guwahati,1993,Arts,Guwahati,1995,Others,Pune,1999,Jaipur,Nagpur,2673326,N,A,4,3,0,0,3608990
7849,32577,12,11,,Senior Researcher,BFSI,K,Assistant Manager,Grad,Zoology,Pune,2000,Others,Pune,2002,Botony,Surat,2008,Bangalore,Mumbai,1942337,N,C,5,8,0,0,2233687
7850,12986,2,1,Engineering,Analyst,Others,K,Data Analyst,PG,Chemistry,Delhi,2012,Chemistry,Delhi,2014,Chemistry,Lucknow,2018,Delhi,Nagpur,698961,Y,B,3,7,1,0,922628
7851,46798,10,3,Top Management,Area Sales Manager,Insurance,D,Others,Doctorate,Sociology,Delhi,2002,Sociology,Delhi,2004,Sociology,Ahmedabad,2010,Chennai,Pune,1502891,Y,Key_Performer,3,3,0,0,2104047
7852,13310,9,2,Healthcare,Scientist,Retail,A,Marketing Manager,Under Grad,,,,,,,,,,Lucknow,Nagpur,1324666,Y,B,1,4,0,0,1722065
7853,39993,6,1,Engineering,Analyst,Aviation,L,Director,Grad,Statistics,Mangalore,2005,Statistics,Mangalore,2007,Statistics,Mumbai,2014,Delhi,Bangalore,985098,N,B,6,8,0,0,1231372
7854,22276,24,11,Engineering,Project Manager,IT,O,Research Scientist,Grad,Botony,Mangalore,1990,Botony,Mangalore,1992,Others,Bangalore,1996,Mumbai,Mangalore,2454347,N,A,3,4,0,0,3067933
